	28-1	28-2	29-2	30-1	30-2	31-1	31-2	32-2	33-1	33-2	34-1	34-2	35-1	35-2	36-1 36-2 37-1 37-2 38-1 38-2
0	-1.412E-07	-1.442E-07	-1.375E-07	-1.394E-07	-1.395E-07	-1.377E-07	-0.000000138	-1.426E-07     -1.424E-07 -1.351E-07 -1.475E-07 -1.446E-07 -1.404E-07 -1.407E-07 -0.000000141 -1.384E-07 -1.296E-07 -1.282E-07 -1.393E-07 -1.373E-07
20	1.479E-07	1.554E-07	1.217E-07	1.454E-07	0.000000145	1.253E-07	1.294E-07	1.872E-07      1.885E-07  1.596E-07  1.765E-07	1.911E-07  1.235E-07  2.029E-07	 1.651E-07    0.000000199	    1.228E-07  1.262E-07  1.449E-07 1.289E-07
40	2.149E-07	2.102E-07	2.197E-07	2.112E-07	2.012E-07	1.695E-07	1.671E-07	2.265E-07      2.312E-07  2.176E-07  2.593E-07	2.326E-07  2.848E-07  2.284E-07	 2.526E-07    2.229E-07		    2.323E-07  2.164E-07  2.191E-07 0.000000224
60	2.713E-07	2.514E-07	2.545E-07	2.591E-07	2.393E-07	2.165E-07	2.078E-07	2.838E-07      2.928E-07  2.594E-07  3.239E-07	2.888E-07  3.287E-07  2.752E-07	 3.061E-07    0.000000268	    2.625E-07  2.365E-07  2.662E-07 2.454E-07
80	3.393E-07	0.000000305	3.036E-07	3.062E-07	2.869E-07	2.537E-07	2.391E-07	3.419E-07      3.387E-07  3.128E-07  3.835E-07	3.474E-07  3.724E-07  3.255E-07	 3.526E-07    3.173E-07		    0.000000297		  2.756E-07 3.088E-07 2.864E-07
100	3.886E-07	0.00000036	3.414E-07	3.313E-07	3.274E-07	2.897E-07	2.761E-07	3.806E-07      3.579E-07  3.559E-07  4.142E-07	4.001E-07  3.938E-07  0.000000367	      3.777E-07		    3.575E-07		  3.129E-07 3.068E-07 3.284E-07 3.183E-07
120	4.115E-07	4.037E-07	3.593E-07	3.403E-07	3.502E-07	3.118E-07	3.104E-07	0.000000397    3.637E-07  3.776E-07  4.252E-07	4.302E-07  4.036E-07  3.945E-07		      3.905E-07		    3.837E-07		  3.176E-07 3.239E-07 3.345E-07	3.352E-07
140	0.00000042	4.294E-07	0.000000366	3.432E-07	3.591E-07	0.000000321	0.000000335	0.000000403    3.654E-07  3.859E-07  4.289E-07	0.000000443	      4.085E-07		      4.114E-07		    3.968E-07		  3.993E-07 3.178E-07 3.314E-07	3.359E-07 3.423E-07
160	4.242E-07	4.416E-07	0.000000369	3.442E-07	3.631E-07	3.251E-07	3.465E-07	4.057E-07      3.662E-07  3.897E-07  4.303E-07	4.488E-07	      4.111E-07		      4.214E-07		    4.002E-07		  4.084E-07 3.131E-07 3.344E-07	3.356E-07 3.448E-07
180	4.274E-07	4.469E-07	3.718E-07	3.451E-07	3.665E-07	3.288E-07	3.528E-07	4.087E-07      3.686E-07  3.891E-07  4.325E-07	4.542E-07	      4.146E-07		      4.295E-07		    4.036E-07		  4.151E-07 3.143E-07 3.359E-07	3.353E-07 3.465E-07
