	25-1	29-1	29-2	28-2	39-2	40-1	40-2	41-1	41-2	42-1	42-2	43-2	44-1	44-2	45-1 45-2 46-1 47-1 47-2 1-1 1-2 2-1 2-2
0	-1.305E-07	-1.455E-07	-9.452E-08	-1.428E-07	-0.000000136	-1.304E-07	-1.312E-07	-1.319E-07     -1.295E-07    -1.306E-07 -1.323E-07 -1.265E-07 -1.335E-07 -1.323E-07 -1.304E-07 -1.288E-07 -1.164E-07 -1.289E-07 -1.314E-07 -1.432E-07 -1.414E-07 -1.445E-07 -1.395E-07
20	1.253E-07	1.592E-07	1.177E-07	1.772E-07	1.174E-07	1.214E-07	1.216E-07	1.218E-07      1.198E-07     0.000000123	   1.219E-07  1.196E-07	 1.252E-07  1.202E-07  0.000000117	     1.264E-07	1.271E-07  1.224E-07  1.235E-07	 1.401E-07  1.243E-07 1.204E-07 0.000000163
40	2.132E-07	2.254E-07	9.821E-08	2.061E-07	2.206E-07	2.178E-07	1.987E-07	2.219E-07      2.014E-07     2.187E-07		   2.069E-07  1.957E-07	 2.034E-07  1.889E-07  2.088E-07	     1.966E-07	0.00000018 1.967E-07  1.903E-07	 1.904E-07  1.859E-07 2.336E-07	2.223E-07
60	2.659E-07	2.767E-07	1.106E-07	0.000000243	2.499E-07	2.285E-07	2.109E-07	2.394E-07      2.122E-07     0.000000224	   0.000000208		 1.988E-07  2.328E-07  2.098E-07	     2.331E-07	2.115E-07  2.011E-07  2.193E-07	 0.000000207	      2.243E-07	2.173E-07 2.821E-07 2.644E-07
80	2.947E-07	3.355E-07	1.222E-07	2.893E-07	2.949E-07	2.507E-07	2.423E-07	2.662E-07      2.443E-07     2.481E-07		   2.336E-07		 2.239E-07  2.653E-07  2.455E-07	     2.615E-07	2.441E-07  2.381E-07  2.506E-07	 2.399E-07	      0.000000267	  2.579E-07 0.000000342 3.166E-07
100	3.071E-07	0.000000381	1.332E-07	3.358E-07	3.291E-07	2.626E-07	2.681E-07	0.000000279    2.707E-07     2.648E-07		   0.000000257		 2.449E-07  2.807E-07  2.743E-07	     2.743E-07	2.686E-07  2.603E-07  2.665E-07	 2.659E-07	      3.104E-07		  2.997E-07 0.0000004	3.676E-07
120	0.000000313	4.055E-07	1.408E-07	3.768E-07	3.458E-07	2.689E-07	2.829E-07	2.841E-07      2.858E-07     2.742E-07		   2.741E-07		 2.589E-07  2.857E-07  2.888E-07	     2.785E-07	2.809E-07  2.682E-07  2.719E-07	 2.788E-07	      3.489E-07		  3.402E-07 4.422E-07	0.00000041
140	3.169E-07	4.148E-07	1.484E-07	4.042E-07	3.522E-07	2.727E-07	2.903E-07	2.862E-07      2.938E-07     2.794E-07		   2.854E-07		 2.684E-07  2.868E-07  2.944E-07	     2.792E-07	0.000000286	      2.701E-07	 2.735E-07	      2.838E-07		  3.767E-07 3.729E-07	4.609E-07 4.373E-07
160	3.203E-07	0.000000419	1.569E-07	4.168E-07	3.551E-07	2.752E-07	2.944E-07	2.872E-07      2.983E-07     2.713E-07		   2.928E-07		 2.747E-07  0.000000287			     2.969E-07	2.791E-07	      2.883E-07	 2.704E-07	      0.000000274	  2.859E-07 3.918E-07	3.939E-07 4.701E-07 4.509E-07
180	3.233E-07	4.223E-07	1.668E-07	4.239E-07	3.582E-07	2.781E-07	2.983E-07	2.832E-07      3.025E-07     2.827E-07		   0.000000299		 0.00000028 2.881E-07			     2.996E-07	2.799E-07	      2.908E-07	 0.000000271	      2.751E-07		  2.883E-07 3.993E-07	4.041E-07 4.753E-07 4.583E-07
200	3.259E-07	4.248E-07	1.817E-07	4.324E-07	3.633E-07	2.799E-07	3.037E-07	2.913E-07      3.082E-07     2.896E-07		   3.057E-07		 2.857E-07  2.907E-07			     3.034E-07	2.799E-07	      2.945E-07	 2.727E-07	      2.773E-07		  2.916E-07 4.063E-07	4.129E-07 4.814E-07 4.648E-07
220	3.285E-07	4.271E-07	1.923E-07	4.396E-07	3.665E-07	2.851E-07	3.074E-07	2.955E-07      3.119E-07     2.937E-07		   3.104E-07		 2.896E-07  2.921E-07			     3.056E-07	2.827E-07	      2.969E-07	 2.735E-07	      2.784E-07		  2.937E-07 4.137E-07	4.214E-07 4.863E-07 4.712E-07
240	3.312E-07	4.296E-07	2.089E-07	4.438E-07	3.682E-07	2.877E-07	3.097E-07	2.979E-07      3.144E-07     2.963E-07		   3.113E-07		 2.923E-07  2.927E-07			     3.067E-07	0.000000284	      2.984E-07	 0.000000274	      2.789E-07		  2.949E-07 0.000000418	0.000000426	    4.892E-07 4.746E-07
260	3.346E-07	4.323E-07	0.00000023	4.467E-07	3.695E-07	2.894E-07	3.113E-07	2.997E-07      3.162E-07     2.982E-07		   3.156E-07		 2.944E-07  2.931E-07			     3.075E-07	0.000000285	      2.998E-07	 2.746E-07	      2.794E-07		  2.958E-07 0.000000421	4.292E-07	    4.913E-07 0.000000477
280	3.395E-07	4.379E-07	2.548E-07	4.494E-07	3.722E-07	0.000000291	3.129E-07	3.011E-07      3.179E-07     2.999E-07		   3.182E-07		 2.963E-07  2.938E-07			     3.082E-07	2.861E-07	      2.995E-07	 2.754E-07	      0.00000028	  2.969E-07 4.234E-07	4.319E-07	    4.932E-07 4.791E-07
300	3.449E-07	4.419E-07	2.822E-07	4.515E-07	3.723E-07	2.922E-07	3.144E-07	3.025E-07      3.195E-07     3.013E-07		   3.201E-07		 2.946E-07  2.947E-07			     0.000000309		      2.871E-07	 3.018E-07	      2.762E-07		  2.771E-07 0.000000298	4.254E-07	    4.344E-07 4.947E-07 4.809E-07
320	3.488E-07	4.443E-07	3.154E-07	4.531E-07	3.734E-07	2.932E-07	3.159E-07	3.036E-07      3.195E-07     3.025E-07		   3.219E-07		 2.985E-07  2.956E-07			     3.102E-07			      2.882E-07	 3.033E-07	      2.759E-07		  2.796E-07 0.000000299	4.271E-07	    4.365E-07 4.959E-07	4.826E-07
340	3.519E-07	0.000000446	3.539E-07	4.544E-07	3.743E-07	2.941E-07	0.000000317	3.046E-07      3.218E-07     3.035E-07		   3.232E-07		 3.001E-07  2.964E-07			     3.111E-07			      2.891E-07	 3.045E-07	      2.776E-07		  2.808E-07 2.999E-07	4.286E-07	    4.382E-07 4.969E-07	0.000000484
360	3.545E-07	4.474E-07	3.894E-07	4.554E-07	3.751E-07	2.949E-07	3.181E-07	3.055E-07      3.232E-07     3.043E-07		   3.243E-07		 3.014E-07  2.969E-07			     3.108E-07			      2.899E-07	 3.057E-07	      2.785E-07		  2.818E-07 3.008E-07	0.00000043	    4.391E-07 4.978E-07	4.852E-07
380	3.568E-07	4.485E-07	4.204E-07	4.562E-07	3.758E-07	2.954E-07	3.189E-07	3.061E-07      3.241E-07     0.000000305	   3.253E-07		 3.023E-07  2.973E-07			     3.121E-07			      2.904E-07	 3.066E-07	      2.792E-07		  2.824E-07 3.017E-07	4.311E-07	    4.408E-07 4.984E-07	4.861E-07
400	0.000000359	4.492E-07	4.424E-07	4.568E-07	3.753E-07	2.959E-07	3.196E-07	3.066E-07      3.249E-07     3.055E-07		   3.262E-07		 0.000000303				     2.975E-07			      3.128E-07	 2.907E-07	      3.073E-07		  2.797E-07 2.829E-07	3.024E-07	    4.312E-07 0.000000442 4.989E-07 4.869E-07
420	3.612E-07	4.501E-07	4.501E-07	4.573E-07	3.765E-07	2.962E-07	3.201E-07	0.000000307    3.255E-07     3.059E-07		   3.268E-07		 3.036E-07				     2.977E-07			      3.133E-07	 0.000000291	      3.078E-07		  0.00000028		2.834E-07	    3.012E-07 4.327E-07	  4.432E-07 4.993E-07 4.875E-07
